[BASH] Running the hybrid graph500 for scale 21 with sorted edges
Initializing the shares for Hybrid platform.
	time_init:15804.01	time_par:784.06	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
787.28	658.96	2.85	436.32	222.62	0.00	390.24	369.44	369.44	102.91	27.05	9.79	67108862	0.1018
1234.84	1160.90	5.90	1018.41	142.47	0.00	289.21	1010.24	1010.24	71.48	14.47	1.00	67108862	0.0578
1050.69	894.62	2.76	703.18	191.42	0.00	563.17	675.35	675.35	155.41	38.63	10.26	67108862	0.0750
861.65	696.13	2.98	518.20	177.90	0.00	383.27	428.05	428.05	101.79	34.92	3.27	67108862	0.0964
3661.72	3515.53	12.75	3273.17	242.34	0.00	1157.64	3108.61	3108.61	21.43	87.38	0.82	67108862	0.0191
906.40	744.98	15.38	579.80	165.16	0.00	485.80	570.72	570.72	73.54	36.43	0.96	67108862	0.0901
932.08	741.51	116.85	533.09	208.41	0.00	403.33	485.50	485.50	119.69	36.52	0.82	67108862	0.0905
1838.80	1703.40	4.19	1627.84	75.54	0.00	454.65	1595.29	1595.29	19.30	19.47	0.75	67108862	0.0394
file:/dev/null	benchmark:GRAPH500	vertices:2097152	edges:67108862	partitioning:RANDOM	platform:HYBRID	alpha:50	repeat:1	gpu_count:1	thread_count:4	thread_sched:GUIDED	thread_bind:false	gpu_graph_mem:DEVICE	gpu_par_randomized:false	sorted:false	edge_sort_key:degree	edge_order:asc	separate_singletons:false	lambda:03899.57	3783.18	14.40	3684.19	98.98	0.00	802.02	3594.08	3594.08	22.10	34.07	1.65	67108862	0.0177
715.62	592.52	2.48	478.73	113.78	0.00	246.24	434.81	434.81	74.69	15.25	0.99	67108862	0.1133
1413.69	1282.04	6.05	1180.90	101.13	0.00	457.56	1137.86	1137.86	53.80	35.37	0.99	67108862	0.0523
4905.72	4743.25	13.79	4545.12	198.11	0.00	998.23	4332.73	4332.73	13.90	25.66	6.41	67108862	0.0141
1196.42	1048.16	2.74	889.99	158.15	0.00	368.81	850.31	850.31	78.75	15.19	7.65	67108862	0.0640
754.24	680.73	4.16	539.99	140.72	0.00	422.73	499.72	499.72	73.81	35.16	0.96	67108862	0.0986
Initializing the shares for Hybrid platform.
	time_init:13053.60	time_par:708.07	rmt_vertex:50	rmt_edge:50	beta:2	pid0:50,50,25,25	pid1:50,50,25,25	
total	exec	init	comp	comm	finalize	cpu_comp	gpu_comp	gpu_total_comp	scatter	gather	aggr	trv_edges	exec_rate
2706.44	2630.85	2.64	2545.95	84.89	0.00	649.83	2474.98	2474.98	15.52	23.55	0.99	67108862	0.0255
2638.04	2553.48	14.95	244.36	2309.11	0.00	194.07	216.00	216.00	45.78	13.54	0.79	67108862	0.0263
3479.85	3402.46	5.85	3298.17	104.28	0.00	672.86	3221.16	3221.16	15.41	21.92	0.75	67108862	0.0197
3425.73	3339.33	27.29	371.24	2968.07	0.00	196.94	344.24	344.24	42.54	17.24	0.79	67108862	0.0201
2031.11	1942.16	10.14	1796.06	146.08	0.00	570.28	1779.76	1779.76	13.57	27.43	6.20	67108862	0.0346
2056.89	2000.69	4.18	1857.95	142.74	0.00	281.98	1832.76	1832.76	90.20	15.41	1.02	67108862	0.0335
632.99	556.02	19.11	327.88	228.12	0.00	179.38	307.56	307.56	45.64	14.35	0.96	67108862	0.1207
791.75	655.39	41.31	388.99	266.39	0.00	299.02	347.46	347.46	56.69	23.65	17.56	67108862	0.1024
3515.77	3425.48	36.65	2966.56	458.90	0.00	503.62	2902.62	2902.62	16.14	19.27	0.92	67108862	0.0196
3497.56	3408.64	6.84	3250.85	157.78	0.00	289.10	3230.48	3230.48	95.83	22.08	1.04	67108862	0.0197
4717.78	4629.74	29.75	4524.20	105.53	0.00	276.17	4501.82	4501.82	41.31	26.12	0.74	67108862	0.0145
4662.75	4569.24	3.72	4432.46	136.72	0.00	775.01	4402.80	4402.80	16.63	16.42	1.06	67108862	0.0147
681.13	592.78	32.99	475.71	117.06	0.00	171.11	457.15	457.15	64.63	12.87	0.93	67108862	0.1132
480.21	398.23	5.48	263.22	135.00	0.00	175.75	251.14	251.14	70.07	14.85	0.94	67108862	0.1685
4927.66	4862.18	8.54	1434.07	3428.09	0.00	384.36	1378.98	1378.98	27.93	24.77	1.44	67108862	0.0138
4785.03	4698.21	12.93	3572.80	1125.39	0.00	729.11	3545.55	3545.55	22.23	22.87	0.85	67108862	0.0143
4805.78	4620.48	118.34	4347.78	272.67	0.00	775.76	4147.04	4147.04	37.33	24.85	1.12	67108862	0.0145
4586.30	4496.18	24.72	4310.78	185.39	0.00	225.82	4257.32	4257.32	60.94	25.65	0.75	67108862	0.0149
2174.30	2108.31	3.55	412.79	1695.51	0.00	209.50	401.49	401.49	64.79	17.17	0.76	67108862	0.0318
2009.86	1916.88	2.94	1773.43	143.43	0.00	501.79	1744.12	1744.12	12.97	16.13	0.91	67108862	0.0350
2082.50	1997.32	23.83	1210.73	786.57	0.00	274.99	1175.95	1175.95	38.62	18.80	6.21	67108862	0.0336
